omega,j,k,W,F_real,F_imag,reference_Omega,reference_d
29.987355107326504,4,3,0.0008,0.23125485954335487,0.45654567193311557,31.41592653589793,1.0
29.987355107326504,4,4,0.0008,-0.1761026956252126,-0.35274583871840387,31.41592653589793,1.0
30.068987760387728,0,0,0.0008,-0.12279914370052947,-0.391139754248639,31.41592653589793,1.0
30.068987760387728,0,1,0.0008,0.15499712470135524,0.4930080680906367,31.41592653589793,1.0
30.068987760387728,0,2,0.0008,-0.12116542182658897,0.008832176213140787,31.41592653589793,1.0
30.068987760387728,0,3,0.0008,-0.026264792000941367,-0.5134722505277706,31.41592653589793,1.0
30.068987760387728,0,4,0.0008,0.13429801798205082,0.35898722710435327,31.41592653589793,1.0
30.068987760387728,1,0,0.0008,0.15499712470135493,0.4930080680906367,31.41592653589793,1.0
30.068987760387728,1,1,0.0008,-0.17501889982003963,-0.6841539903047396,31.41592653589793,1.0
30.068987760387728,1,2,0.0008,0.25741000785762447,0.0037684047792794634,31.41592653589793,1.0
30.068987760387728,1,3,0.0008,-0.20047086327837502,0.6704352639718268,31.41592653589793,1.0
30.068987760387728,1,4,0.0008,-0.02626479200094109,-0.5134722505277709,31.41592653589793,1.0
30.068987760387728,2,0,0.0008,-0.12116542182658795,0.008832176213140565,31.41592653589793,1.0
30.068987760387728,2,1,0.0008,0.2574100078576232,0.003768404779279755,31.41592653589793,1.0
30.068987760387728,2,2,0.0008,-0.3100687221038601,-0.01691687235713979,31.41592653589793,1.0
30.068987760387728,2,3,0.0008,0.25741000785762513,0.00376840477927895,31.41592653589793,1.0
30.068987760387728,2,4,0.0008,-0.12116542182658943,0.008832176213141162,31.41592653589793,1.0
30.068987760387728,3,0,0.0008,-0.02626479200094252,-0.5134722505277703,31.41592653589793,1.0
30.068987760387728,3,1,0.0008,-0.200470863278373,0.6704352639718265,31.41592653589793,1.0
30.068987760387728,3,2,0.0008,0.2574100078576239,0.003768404779279165,31.41592653589793,1.0
30.068987760387728,3,3,0.0008,-0.17501889982004057,-0.6841539903047389,31.41592653589793,1.0
30.068987760387728,3,4,0.0008,0.15499712470135568,0.49300806809063646,31.41592653589793,1.0
30.068987760387728,4,0,0.0008,0.13429801798205154,0.35898722710435305,31.41592653589793,1.0
